Year Published,Country,Age Range,Case Identification Method,Case Criterion,Sample Size,Number of Cases,"ASD Prevalence Estimate per 1,000",Confidence Interval (CI),Male:Female Sex Ratio,Non-Hispanic White:Hispanic Prevalence Ratio,White:Black Prevalence Ratio,Diagnosis Age Range (months),Diagnosis Mean Age (months),Diagnosis Median Age (months),IQ Score <70 (%),Adaptive Score <70 (%),Non-Verbal or Minimally Verbal (%),Percentage of Individual Co-occurring Conditions,Autism Types Included,CDC Calculated Values
1966,England,8 to 10,survey (mail); health records,Kanner,78000.0,35.0,0.45,0.32 - 0.62,2.6,,,,,,84.0,,59.0,,autistic conditions,IQ Score <70 (%); CI
1970,USA,2 to 12,health records,Kanner,899750.0,69.0,0.077,0.06 - 0.10,3.1,,,,,,,,,,classic infantile autism,CI
1972,Denmark,2 to 14,health records; service provider records,clinical interpretation,46500.0,20.0,0.43,0.28 - 0.66,1.7,,,,,,,,,,autistic syndrome,CI
1976,England,5 to 14,registry; survey (unspecified),clinical interpretation,25000.0,12.0,4.48,0.27 - 0.84,,,,,,,,,,,early childhood autism,CI
1979,England,0 to 14,registry; service provider records,Kanner; clinical interpretation,35000.0,17.0,0.49,0.30 - 0.78,,,,,,,70.0,,59.0,0 (Down syndrome),autism,IQ Score <70 (%); CI
1982,Japan,0 to 17,survey (mail),Kanner,609848.0,320.0,0.525,0.47 - 0.59,9.9,,,,,,,,,,"early infantile autism, autistic mental retardation",prevalence estimate; CI
1983,Sweden,0 to 20,survey (mail),Rutter; clinical interpretation,69000.0,39.0,0.56,0.41 - 0.77,1.6,,,,,,,,,,early infantile autism,CI
1984,Ireland,8 to 10,survey (mail),Kanner,65000.0,28.0,0.43,0.30 - 0.62,1.3,,,,,,,,54.0,,childhood autism,CI
1984,Sweden,4 to 18,survey (unspecified),clinical interpretation,128584.0,26.0,0.2,0.16 - 0.32,3.3,,,,,,77.0,,,19 (epilepsy),infantile autism,CI; IQ Score <70 (%)
1986,Germany,0 to 14,health records,Rutter,279616.0,52.0,0.19,0.14 - 0.24,2.3,,,,,,44.0,,,,infantile autism,CI
1986,Sweden,0 to 10,health records; registry,DSM-III,78413.0,35.0,0.66,0.32 - 0.62,2.9,,,,,,88.0,,,23 (epilepsy); 3 (tuberous sclerosis); 6 (cerebral palsy),"infantile autism, autistic-like conditions",IQ Score <70 (%); CI; percent co-occurring conditions
1987,Japan,4 to 12,health records; education records,DSM-III,32834.0,51.0,1.55,1.18 - 2.04,4.7,,,,,,,,,,infantile autism,CI
1987,USA,2 to 18,health records; education records,DSM-III,180986.0,59.0,0.33,0.25 - 0.42,2.7,,,,,,,,,,"infantile autism, childhood onset PDD, atypial PDD, all PDD",CI
1988,Canada,6 to 14,survey (unspecified),"clinical interpretation; autism test (ABC); other (new diagnostic criteria, Denckla 1986); other (psychometric data/Rutter)",20800.0,21.0,1.01,0.66 - 1.54,2.5,,19.2,,,,76.0,,19.0,,autism,CI; IQ Score <70 (%); percent non-verbal; White:Black prevalence ratio
1988,Japan,7,health records; service provider records; education records,DSM-III,95394.0,132.0,1.38,1.17 - 1.64,4.1,,,,,,,,,,infantile autism,CI
1989,France,3 to 9,survey (unspecified),other (study specific operational criteria for survey completed by service providers),135180.0,61.0,0.45,0.35 - 0.58,2.6,,,,,,,,,,"simple autism, autism with major neurological abnormalities",CI
1989,Japan,1.5 to 5 .5,health records,DSM-III,12263.0,16.0,1.3,0.80 - 2.12,,,,,,,38.0,,,,autism,CI
